	H1hesc_mean	K562_mean	fold_change	log2_fold_change
CKM	0.078674	0.097390	0.807823315874	-0.307888308329
CDK13	4.697039	4.002425	1.17354842146	0.230877369739
CADPS	1.204211	0.003669	328.21069075	8.35847842205
TYW1	4.231716	5.328099	0.794226244254	-0.332378061109
ASXL2	3.742968	4.416475	0.847501318432	-0.238712482281
TTC17	9.034105	8.353814	1.08143477794	0.112946658019
JRKL	1.202872	2.813918	0.427472526476	-1.22609639346
RTP5	0.008695	0.002365	3.67585896767	1.87808141555
INIP	2.445460	5.968532	0.409725522294	-1.28727033207
PELI3	1.469161	0.942991	1.55797965136	0.639676390604
ZMYND15	0.189502	0.007341	25.8139887643	4.69008117804
NKX2-3	0.008883	0.002029	4.37686544841	2.12989803399
NXNL2	0.149106	0.002908	51.2681943826	5.67999218316
MOB3C	1.917894	1.669567	1.14873733699	0.200048958176
B3GALNT1	0.853453	0.345830	2.46783766086	1.30324749433
B3GALNT1	0.839400	0.332217	2.52666231291	1.33723286174
SOX6	0.009184	0.860855	0.010668818349	-6.55045579397
HFE2	0.101615	1.187020	0.0856053356152	-3.54615546995
FAM124A	8.416747	0.000887	9484.55901009	13.2113649809
OTX2	17.827022	0.003896	4576.26302466	12.1599542593
MRGPRX4	0.006478	0.002947	2.19857720033	1.1365701919
MRGPRX3	0.007554	0.003797	1.98930863832	0.992267125555
HSFY2	0.006478	0.002947	2.19857720033	1.1365701919
ZNF683	0.015226	0.003765	4.044132146	2.01583013949
CT47A11	0.007223	8.143814	0.000886944027986	-10.1388693157
LOC284865	0.006093	0.002795	2.18010115674	1.12439507763
GFOD1	0.085257	1.068696	0.0797770340785	-3.64788270134
TOB1-AS1	0.743169	0.539909	1.37647154567	0.460974786945
SYNJ2-IT1	0.032935	0.038648	0.852187253506	-0.230757622156
RPS6KA2-IT1	0.151536	0.007303	20.7490491479	4.37497331949
FAM212B-AS1	0.576324	0.025725	22.4029291066	4.48561546696
LARGE-AS1	0.050264	0.001545	32.5347449035	5.02390933686
MIR4508	0.131847	0.059969	2.19857720033	1.1365701919
C6orf89	1.990226	16.796131	0.118493106653	-3.07712496224
BTBD9	0.492012	0.295265	1.6663378453	0.736680932713
PTGS1	0.464331	2.756925	0.168423577755	-2.56983397828
TEKT5	0.139542	0.053260	2.62002453881	1.38958032392
C6orf25	0.100611	0.249146	0.403822715661	-1.30820602808
LGI3	0.009925	0.005109	1.94252387473	0.957932330293
ZBTB9	10.011670	4.958477	2.01910182643	1.01371366985
ZSCAN26	1.769707	2.064863	0.857058157203	-0.222534990594
HLA-A	113.721984	0.120878	940.79845732	9.87774188428
NR1I3	0.553816	0.681733	0.812365385685	-0.299799326159
NR1I3	0.623521	0.774906	0.804640864129	-0.313583087002
RBP1	3.497908	0.010104	346.205821256	8.43548617279
ATP6V0C	77.749185	78.981175	0.984401468581	-0.0226812848023
SIGLEC9	0.018109	0.107303	0.168769220083	-2.56687628375
LMNB1	42.496734	39.072269	1.08764436678	0.121206907547
PCLO	0.429976	0.005198	82.7263645588	6.37027527866
ENSA	41.859641	53.813669	0.777862605481	-0.362412741598
EML1	5.057862	0.011222	450.695623902	8.81600963183
MMACHC	6.417227	5.160471	1.24353502599	0.314447143747
RRAS	8.107599	5.147178	1.57515431447	0.655493173258
EHF	0.003287	0.085794	0.0383070995167	-4.70624439584
NCOA3	2.687859	3.992153	0.673285457562	-0.570709790803
FAM212B	3.655004	0.220345	16.587623625	4.05203531271
FBXW5	12.163326	22.356950	0.544051222999	-0.878185605751
CNGB3	0.003313	0.006828	0.485211101188	-1.0433155365
SMG9	6.042906	10.347474	0.583998174205	-0.775964236175
NEUROD6	0.004328	0.001968	2.19857720033	1.1365701919
HMGB2	60.390229	117.402348	0.514386893205	-0.959074212231
FAM111B	4.661205	0.015384	302.991279019	8.24313245906
APTX	9.783917	10.234688	0.955956530735	-0.0649830774338
DUSP9	0.259667	3.273683	0.079319462379	-3.65618129065
YAF2	0.082510	1.761175	0.0468492247156	-4.41583101613
PTCH1	2.101506	0.968797	2.16919029205	1.11715661887
STAR	0.572554	35.059678	0.0163308328726	-5.93625781954
SRD5A2	0.011416	0.011047	1.03337036553	0.0473574165969
SOX9	1.209818	0.001584	763.944997441	9.57732496053
SMN1	19.223392	27.352717	0.702796455362	-0.508821179928
SMN1	20.478052	28.924318	0.707987368825	-0.498204473416
LRTOMT	4.893909	4.589190	1.06639929591	0.0927477330038
EXOC7	15.743146	9.576206	1.64398583715	0.717197870334
SLCO5A1	0.447743	0.001666	268.797726451	8.07037712532
ZC3H15	17.725362	40.397671	0.438771874156	-1.1884570448
CNTN3	0.022924	0.019118	1.19909014711	0.261940124055
USE1	3.108151	9.258194	0.335718917065	-1.57467426269
PLGRKT	3.042856	2.758223	1.10319418158	0.14168675299
DCDC5	0.016743	0.005664	2.95624677165	1.56376670297
ERLEC1	4.110286	8.501244	0.483492344749	-1.04843504754
POLA2	9.509964	13.506528	0.704101343918	-0.506144998631
C11orf96	0.277962	2.162437	0.128541143435	-2.95969788388
NPR3	0.004356	0.016801	0.259278761833	-1.94742405859
MDM4	2.478511	1.813823	1.36645663333	0.450439674374
TCF7L2	13.673201	0.476143	28.7165886344	4.84381247035
PNRC1	3.644583	3.232271	1.12756114585	0.173205670659
MAP3K4	6.715247	7.787268	0.862336732427	-0.213676759981
CD69	0.027101	19.997263	0.00135525746751	-9.52721732842
CD63	138.914496	237.243904	0.585534523601	-0.772173859157
CD58	0.841712	8.768214	0.0959958411648	-3.38088428457
CD48	0.057920	0.304386	0.190283570931	-2.39377709008
CD47	1.318288	6.346169	0.207729707982	-2.26722054026
SYT3	3.357704	0.579758	5.79155645378	2.53395111789
SRI	33.915960	29.737491	1.14051183611	0.189681418857
NPAS3	0.048229	0.003095	15.5820308597	3.96181137195
SMAP2	1.636313	38.422166	0.0425877379107	-4.55341808801
CD99L2	2.375738	8.319350	0.2855677676	-1.80809494517
SLITRK4	0.822421	0.000713	1153.5351189	10.1718462116
AGAP5	3.190406	3.857621	0.827039653285	-0.273971592304
PGM3	4.805412	6.895140	0.696927448387	-0.520919618565
WIPI2	9.756855	7.903658	1.23447339245	0.303895741309
EDRF1	3.571252	2.454796	1.45480621938	0.540826998522
SLC39A14	28.438338	8.812979	3.22687022776	1.69013555938
ZFP92	0.070598	0.999138	0.0706585861904	-3.82299130718
DAZAP2	4.653060	32.370480	0.143743915294	-2.79842720708
UBE2Q2	2.383069	3.745379	0.636268991868	-0.652291280336
ADAMTSL2	0.235177	0.009264	25.3856839804	4.6659432268
DSN1	5.891280	8.359450	0.704744921187	-0.504826918977
DSN1	5.611909	8.125051	0.690692225518	-0.533885110227
DSN1	5.597057	7.852320	0.712790278507	-0.488450434298
DSN1	5.930094	8.348444	0.71032326711	-0.49345235236
CXorf49B	0.015030	0.022191	0.677297173588	-0.562139119592
CXorf49B	0.009426	0.018343	0.513860562935	-0.960551160474
RASSF7	7.466254	9.385766	0.795486944469	-0.330089841647
WRAP53	7.832060	4.740185	1.65226893762	0.724448531428
CPT1B	11.132949	2.514456	4.42757743492	2.14651753882
EVPLL	0.031300	0.005089	6.15011091706	2.62061242965
MKRN1	12.137287	15.987881	0.759155405371	-0.397532847444
PPP1R17	0.451866	0.002343	192.831081601	7.59119380181
CAPN14	0.015718	0.001622	9.69102613642	3.27664943381
TCP10L2	0.017169	0.007905	2.17194648468	1.11898855653
GRID2IP	0.467504	0.004444	105.203721619	6.71704193115
CHRNA6	0.036139	0.003692	9.78931521445	3.29120794346
SLC16A3	2.377037	1.609226	1.47713069502	0.562797479935
AADACL2	0.006220	0.002829	2.19857720033	1.1365701919
GPR148	0.010766	0.003358	3.20614253049	1.68083856257
NMUR2	0.045315	0.002059	22.0093507735	4.46004468448
SCN9A	0.321064	4.047745	0.0793191408048	-3.65618713958
PROK2	0.175678	0.028199	6.22984672454	2.63919666847
CANX	65.917468	109.807184	0.600301962796	-0.736239709761
PFKFB1	0.110076	0.070363	1.56440772728	0.645616567286
PFDN4	7.527382	8.530880	0.88236868742	-0.180546499907
TNP1	0.023229	0.010565	2.19857720033	1.1365701919
TNNI1	0.260036	0.000692	375.657289491	8.55327328728
CSDE1	82.723908	87.011511	0.950723728098	-0.0729019273122
ZXDA	0.127243	0.155306	0.819301837136	-0.287533045077
BCL2L11	2.543569	2.775726	0.91636166801	-0.126010983831
CSF3R	0.004602	1.329053	0.00346270678776	-8.1738840553
CD1E	0.005129	0.002333	2.19857720033	1.1365701919
CD1E	0.006739	0.003065	2.19857720033	1.1365701919
CD1E	0.006024	0.002740	2.19857720033	1.1365701919
SLC15A2	0.413663	0.110943	3.72862360778	1.89864316917
LOXHD1	0.014525	0.004767	3.04671277966	1.60725350039
ABLIM2	0.507870	0.007081	71.7191734051	6.1642869555
ABLIM2	0.499470	0.006910	72.2778106792	6.175480902
PTGR1	8.693872	0.014094	616.866842877	9.26881529203
NEK3	2.210632	1.384998	1.59612609656	0.674574631322
PTGR1	8.289809	0.016634	498.374740153	8.96108713779
LRRC10B	0.145386	0.010137	14.3418594134	3.84216017559
SNX20	0.013327	0.001934	6.888890136	2.78427157012
IFNAR2	3.269139	7.070178	0.462384282679	-1.11283573616
ICAM2	0.181875	22.427169	0.00810960105821	-6.94615334007
HTR6	0.421532	0.003588	117.494787259	6.87645294178
GAA	9.184282	0.829142	11.0768435574	3.46947492638
GLRA1	0.016437	0.017035	0.964877546679	-0.0515822343813
GRM5	0.050911	0.001044	48.7551239393	5.60748194233
EPB41	9.479550	23.903410	0.396577318573	-1.33432592695
C3orf55	0.128417	0.165994	0.773623166951	-0.370297096422
GSTK1	10.158810	72.100985	0.140896966349	-2.82728754556
ZNF268	1.792932	0.996981	1.79836142305	0.84668299351
ZNF268	1.835687	1.012520	1.81298901357	0.858370182603
SPP1	3.458451	0.017033	203.039023721	7.66561322712
GPX1	76.239103	0.085764	888.940664385	9.79594331406
SUV39H2	5.027991	6.087556	0.825945890056	-0.275880824991
TSHZ2	0.033363	0.022058	1.51249093546	0.596926496172
TUBA8	0.398428	0.297395	1.33972415971	0.421935989949
COL17A1	0.135184	0.004643	29.1142499118	4.86365354511
AR	1.564872	0.001911	818.928824707	9.67759425861
ESRRG	0.193322	0.001479	130.681780044	7.02991420104
C18orf64	0.015371	0.006991	2.19857720032	1.1365701919
FOXO1	8.945857	0.067571	132.392491645	7.0486774949
FKBP4	40.714288	22.312096	1.82476299413	0.867709094461
AGER	3.901261	3.722242	1.04809434628	0.067768589758
EID1	23.937226	46.249215	0.517570439464	-0.95017287334
CADM1	2.584972	0.003734	692.275840062	9.43520318977
SLC7A11	1.956919	4.222083	0.463496005812	-1.10937118844
PPP1R15A	4.138017	33.492161	0.123551811903	-3.01681192676
RUSC1	11.259687	10.452651	1.07720868226	0.107297763066
LEMD3	3.797846	3.905571	0.972417631975	-0.0403520421908
TEAD4	21.621063	6.866537	3.14875772343	1.65478275568
OXTR	0.405179	0.275351	1.47149782398	0.557285408851
OXT	0.131895	0.008252	15.9842477448	3.99857894408
RAB3IP	1.258998	0.553778	2.2734723601	1.18489746452
ZNF93	6.888977	4.981636	1.38287450933	0.467670243265
KIF18A	2.501991	5.466260	0.457715287469	-1.12747761683
CABLES2	3.046012	2.001103	1.52216677262	0.606126432992
ABHD17A	6.471512	12.877753	0.502534233858	-0.992706215341
IFIT1	0.260207	0.021240	12.2508129692	3.61480558515
LOR	0.031309	0.003459	9.05202251252	3.17824017261
FXYD6	17.775531	0.028113	632.29931569	9.30446384792
DCTN1	30.964331	14.391108	2.15162939284	1.10542960245
NADK	17.315489	20.176451	0.858202934742	-0.220609260301
RRP36	24.946447	24.986552	0.99839494562	-0.00231746432007
MIB2	5.039915	5.549655	0.908149318985	-0.138998568243
NDST2	3.220042	14.482680	0.222337404266	-2.16917741863
CNTN6	0.004797	0.001105	4.34179758581	2.11829246922
ACKR1	0.383849	0.275601	1.39276860045	0.477955583342
FKBP3	37.263783	22.067879	1.68859829171	0.755826159705
PIF1	20.393865	3.277593	6.22220810754	2.63742664796
FAM188A	1.829718	6.494705	0.281724639584	-1.82764234782
F8	0.207541	0.971938	0.213533734995	-2.22746408375
LOC101929221	1.665440	0.007813	213.175927508	7.73590072344
SH3D21	2.885694	1.644864	1.75436651706	0.81095018285
LILRB3	0.052231	0.134046	0.389652002096	-1.35974186572
RANBP3	14.518202	10.624958	1.36642442886	0.450405672723
A1CF	0.009494	0.004702	2.01917934705	1.01376905906
HEYL	0.746643	0.249083	2.9975692499	1.58379308319
BEST2	1.391813	0.007370	188.851818458	7.56111086536
FUT9	0.422538	0.001045	404.219211191	8.65899407961
EBP	37.386474	55.865149	0.669227143187	-0.57943213405
B3GNT2	8.095458	6.202894	1.30510972903	0.384171108611
AVIL	0.191559	0.323000	0.593061659905	-0.753745987055
POLE	16.044174	15.861715	1.01150308779	0.0165007239859
PDIA6	84.432232	71.118499	1.18720491458	0.247568969299
CITED1	0.278855	0.805622	0.346136059135	-1.53058885108
CES2	3.669965	8.686367	0.422497128467	-1.24298655884
GPR3	3.038357	3.647501	0.832997009366	-0.263616778865
SGK1	2.351316	1.835524	1.28100514722	0.357276272598
SDCBP	13.178432	28.129346	0.468494091079	-1.093897243
GYPC	9.747455	78.339247	0.124426199126	-3.0066378042
EZH1	4.023331	4.804112	0.837476585076	-0.255879240032
FGF14	0.042201	0.006362	6.63382447841	2.72984084097
FEN1	28.183695	39.996851	0.704647842769	-0.505025663508
EYA3	3.457803	5.550026	0.62302465797	-0.682638831756
EVX1	0.025100	0.002288	10.9708414923	3.45560228336
NOS1AP	1.152560	0.159818	7.21169891192	2.85033916558
UBE2L6	30.205102	20.204015	1.49500491072	0.580150223324
ZNF213	2.413325	3.287961	0.733988373821	-0.44617088354
FIBP	25.891668	20.505159	1.26269045759	0.336501012811
SLC28A1	0.019153	0.005618	3.40937737433	1.76950829615
SLC6A5	0.003967	0.002852	1.39065430253	0.47576383037
P4HA2	2.413351	7.384997	0.326791097555	-1.61355941277
BAIAP3	2.709448	3.231492	0.838451007151	-0.254201609016
C21orf58	4.194709	6.420390	0.65334183593	-0.614090071012
C21orf58	3.841899	5.638816	0.681330839659	-0.553572584707
RAP1GDS1	3.294848	5.264997	0.625802423725	-0.676220848757
ALAS2	0.044974	20.349510	0.00221006511559	-8.82169540801
TCTN1	1.646977	1.628948	1.01106767895	0.0158795717374
PCSK6	0.247127	2.270108	0.108861489637	-3.19943441204
TBC1D26	0.273134	0.030268	9.02386006154	3.17374469516
PANK1	2.515017	0.654017	3.84549418241	1.94316901007
MUC4	0.289467	0.171456	1.68828686654	0.755560061494
PKD1L1	0.028186	0.005295	5.32296356815	2.41222969209
IQGAP2	10.047513	4.577499	2.19497857154	1.13420685553
ENKUR	0.012002	0.037913	0.316571733823	-1.65939564956
ANKRD46	2.066854	1.694341	1.21985718753	0.28671225688
GPR21	0.024160	0.007998	3.02055611405	1.59481418833
FFAR1	0.014711	0.009545	1.54119254447	0.624047112084
PAMR1	1.288483	0.001514	851.257423679	9.73345166447
FLJ38122	0.002910	0.001324	2.19857720032	1.1365701919
LOC102031319	0.045216	0.087182	0.518638832642	-0.947197864086
LOC283045	0.003566	0.002375	1.50143242235	0.586339542408
P4HA2-AS1	0.765719	2.365809	0.32366060587	-1.6274463153
IPO9-AS1	4.643730	4.547681	1.02112043393	0.0301530319248
RBM4	57.714505	38.252737	1.50876798675	0.593370970148
LIPF	0.006510	0.002961	2.19857720033	1.1365701919
LIPF	0.006091	0.002770	2.19857720033	1.1365701919
ADSL	61.618209	34.290357	1.79695446766	0.845553853411
FUT6	0.014657	0.012494	1.17306166417	0.230278853312
AGXT	0.007097	0.007939	0.894023637717	-0.16161511855
DLG2	0.271281	0.003103	87.4322911991	6.4500943008
SEMA4G	2.413744	0.786401	3.06935469137	1.61793537175
DIO2	0.019261	0.001908	10.0943722342	3.3354792876
RCAN1	1.252243	6.212530	0.201567264331	-2.3106667389
ZFAND6	18.665330	15.606019	1.19603408237	0.25825850138
GCOM1	2.581592	3.534003	0.730500697695	-0.453042443953
ZFAND6	18.650573	15.577864	1.19724844929	0.259722566961
SLC25A3	141.949351	144.940499	0.979362924353	-0.0300845137735
RAB33A	1.290379	0.014110	91.4521492807	6.51494517104
NOV	0.101256	0.002392	42.322503788	5.40335307432
NME2	154.042361	221.737533	0.694705848063	-0.525525852838
TPT1	83.170603	88.964065	0.934878622606	-0.0971490260705
TPSAB1	0.038908	0.018247	2.13227758247	1.0923952621
TPR	13.239855	17.243035	0.767837850412	-0.381126415588
IKZF3	0.053985	0.092357	0.584524882357	-0.774663655435
LIPF	0.006434	0.002926	2.19857720033	1.1365701919
GFI1B	0.005206	23.316999	0.000223288695082	-12.128802169
RPL13A	297.200755	249.997784	1.18881355703	0.249522473334
FBP1	0.866582	0.009236	93.822957073	6.5518690667
CRYBB2	0.190700	0.075340	2.53120155861	1.33982239328
F12	1.008308	3.313130	0.304337145299	-1.71625766485
COL4A5	3.546009	0.532377	6.66071191884	2.73567638554
UQCRFS1	42.142255	43.408207	0.970836122823	-0.0427003056724
CCIN	0.050752	0.004224	12.0147010045	3.58672884117
NAPA	17.016964	27.709987	0.614109394083	-0.703432422608
NXT1	5.880345	7.461599	0.788081071803	-0.343584044048
NUFIP1	2.072452	1.087309	1.9060375886	0.930576570637
S100A4	14.022669	3.384553	4.14313712904	2.05072357125
FADD	12.803309	8.799859	1.45494470662	0.540964326325
FSTL3	2.178613	1.976583	1.10221168681	0.140401329336
ADAM15	7.533603	13.126105	0.573940442083	-0.801027058978
EIF1B	26.843693	41.045417	0.65399976823	-0.612637970439
SMAD1	2.952126	0.024201	121.981933914	6.93052368361
PAK4	16.619103	7.919939	2.09838779483	1.06928132138
UBA2	23.718714	37.544606	0.631747588052	-0.662579843771
CASP9	4.104626	7.432060	0.552286392932	-0.856511511732
TULP1	0.946084	0.077066	12.2763256811	3.61780691986
CASP10	0.599678	1.792709	0.33450942213	-1.57988124704
ADRA1A	0.069762	0.001865	37.4057736035	5.22518906303
ADORA2B	1.238711	2.622620	0.472318085038	-1.08216931761
ADORA2A	2.383485	0.365314	6.52447586734	2.70586200989
CASP7	1.048559	3.132922	0.334690234377	-1.57910163834
PDDC1	8.809999	13.281632	0.663321969473	-0.592218785619
SAMD7	0.004122	0.002745	1.50143242235	0.586339542405
POM121L12	0.007365	0.003350	2.19857720033	1.1365701919
ZNF454	0.274485	0.002009	136.603818413	7.09385400085
YIPF7	0.009927	0.004515	2.19857720033	1.1365701919
MMADHC	28.978709	77.862700	0.372177035493	-1.42593905562
GAB2	2.361022	18.182826	0.129849010708	-2.94509307241
FAIM2	0.078664	0.026314	2.98940596893	1.57985883197
OGFR	6.880291	8.545465	0.805139392968	-0.312689517704
TCTN1	1.623371	1.589815	1.02110677699	0.0301337365204
CEP97	1.119889	0.889597	1.25887222956	0.332131862779
GAS2	0.074449	0.110546	0.673463955125	-0.570327362495
SYNRG	3.013027	3.107795	0.969506488987	-0.0446775404462
SLC39A8	3.878463	7.258584	0.534327756142	-0.904203133671
SARDH	2.229275	0.041409	53.8356683933	5.75049043056
ERLEC1	4.155500	8.745704	0.475147568306	-1.07355244881
CBX5	16.906543	7.138785	2.36826612432	1.24383120709
CBX5	17.174671	7.241833	2.371591706	1.24585565641
LRSAM1	4.667790	3.040424	1.53524287052	0.618466903396
SERPINA7	0.005847	0.002659	2.19857720033	1.1365701919
SEMA7A	4.035065	4.977259	0.810700167085	-0.302759654479
TAT	0.015807	0.006535	2.41865434896	1.27420460781
SEMA7A	3.868974	4.787982	0.808059512733	-0.307466545026
MTR	2.792534	3.634034	0.768439181916	-0.379997012486
C11orf53	0.008873	0.004036	2.19857720033	1.1365701919
FAM174A	0.991057	0.613913	1.61432609444	0.690932032961
RNASE3	0.013038	0.009107	1.43166342665	0.51769236566
SORBS1	5.094154	1.485321	3.42966534914	1.77806781177
MCM3AP-AS1	4.060374	4.264866	0.952052070132	-0.0708876145619
PES1	24.781785	17.014228	1.45653302428	0.542538412378
CXADRP2	0.842186	0.004945	170.295394995	7.411895613
RPLP0P2	2.899785	3.540976	0.818922583386	-0.288201021342
AOC4P	0.066226	0.013710	4.83033235731	2.27212245899
CAPZB	58.326549	48.656588	1.1987389981	0.261517574403
NR4A3	0.021405	0.005923	3.6139927983	1.85359363131
GPR150	0.048092	0.003260	14.7512793742	3.88276817931
LRRC48	0.177106	0.084301	2.10089035527	1.07100087023
NR1H3	3.833693	3.117769	1.22962695577	0.298220697118
SLC6A8	30.844783	33.436963	0.922475618696	-0.116417314068
LOC101927129	0.012079	0.005494	2.19857720033	1.1365701919
YPEL5	4.714360	7.061880	0.667578548635	-0.582990497699
BHMT2	0.043364	0.004132	10.4954302142	3.39168939969
KIAA0586	1.929383	2.795921	0.690070524132	-0.535184284278
RNF222	0.015914	0.014617	1.08876403206	0.122691312491
BTNL8	0.076391	0.040437	1.88912048029	0.917714713783
RNF182	1.900678	3.356021	0.566348529507	-0.820237937515
RNF182	1.881312	3.331727	0.56466579802	-0.824530845401
ULK2	1.138708	0.011658	97.6734093998	6.60989395136
RABL2B	4.806773	1.947312	2.46841423561	1.3035845199
C11orf91	0.033466	0.089561	0.373672662512	-1.42015307332
TNFSF15	0.023437	0.004040	5.80068688328	2.53622374583
CIDEC	0.074766	0.189527	0.394488665051	-1.3419442474
SGOL1	2.439564	4.162952	0.586017675749	-0.770983914317
TMEM132C	0.206847	0.000859	240.765162191	7.91148284446
RFC2	21.049744	22.543659	0.933732347138	-0.098919031884
RFC1	11.154574	9.935573	1.1226905717	0.16696035678
TNIK	5.443763	6.873096	0.792039408708	-0.33635588007
RMST	1.050745	0.006060	173.404105191	7.43799424329
CETN4P	0.039530	0.573624	0.0689127149324	-3.85908599382
CRSP8P	5.322630	6.465010	0.823298044148	-0.280513296106
LIMS2	1.040684	0.024490	42.4941909521	5.40919373008
FAM231D	0.886482	0.228017	3.88778717119	1.95894924377
ZNF610	0.971161	0.031408	30.9205793106	4.95049544393
AQP1	0.131525	1.243297	0.105787456203	-3.24075952553
PEG10	14.971136	0.097252	153.941227439	7.26623584546
XAGE1A	0.019183	72.335595	0.000265190037016	-11.880685804
PLEKHA6	2.154945	0.063977	33.6833227486	5.07396255741
TMA16	7.325511	7.697369	0.951690255619	-0.0714359955084
FGD6	2.493585	0.982233	2.53869009651	1.34408429277
SEC31A	14.935664	26.277715	0.56837755025	-0.815078522682
TMBIM4	1.193808	8.783218	0.135919239734	-2.87917840696
MEMO1	3.504464	6.708233	0.522412369593	-0.936739037705
DERA	5.590896	3.195981	1.74935227544	0.806820840922
LINC00601	0.011500	0.003633	3.16556462598	1.66246284893
GNAI1	2.620559	0.003840	682.350619181	9.41436943426
RLBP1	0.011340	0.040238	0.281831763013	-1.82709387941
CSRP1	3.588630	12.123880	0.295996846934	-1.75634628707
EIF3F	30.080129	29.498328	1.01972319914	0.0281775900205
E2F6	1.847608	4.599393	0.401707035371	-1.31578436637
E2F6	1.870509	4.650946	0.402178218757	-1.31409314488
SRPK2	5.967936	7.659605	0.779144070037	-0.360037975958
TNFRSF11A	2.586544	0.013069	197.908559408	7.62869019907
BRS3	0.006611	0.012671	0.521721591438	-0.938647954379
SLC13A3	2.479073	1.933060	1.28246083906	0.358914772693
HBEGF	0.782242	0.199664	3.91778817213	1.97003939575
GAGE8	0.030205	344.574010	8.7658158153e-05	-13.4777521087
PCDHGB5	7.405444	0.108720	68.114578665	6.08989170835
HEATR5B	2.440558	2.544245	0.959246429419	-0.0600266051607
CCNA1	0.459973	0.004160	110.571024296	6.78882955925
ATP1B4	0.001963	0.031375	0.0625630807282	-3.99854463426
PDZK1	0.253462	0.223029	1.13645249736	0.184537382128
SNAR-A6	0.511199	3.545970	0.144163282266	-2.79422433141
SNAR-A8	0.528540	3.811457	0.138671473247	-2.8502570602
SNAR-A8	0.528540	3.774066	0.140045327823	-2.83603424171
SNAR-A8	0.528540	3.757861	0.140649238357	-2.82982635469
SNAR-A8	0.528540	3.757861	0.140649238357	-2.82982635469
SNAR-A8	0.546122	3.776557	0.144608563739	-2.78977510347
